,match_id,result,goals,team_id,team_name,team_rating,date,won_corners,att_sv_low_centre,won_contest,total_tackle,aerial_lost,possession_percentage,accurate_pass,total_pass,total_throws,shot_off_target,total_offside,blocked_scoring_att,ontarget_scoring_att,aerial_won,att_miss_left,total_scoring_att,fk_foul_lost,att_miss_right,att_goal_low_left,att_goal_low_right,att_sv_low_left,att_pen_goal,att_sv_high_centre,att_goal_low_centre,att_miss_high,att_post_left,post_scoring_att,att_miss_high_right,att_sv_high_right,att_sv_low_right,att_sv_high_left,att_miss_high_left,att_goal_high_right,att_goal_high_left,att_post_right,att_goal_high_centre,penalty_save,att_post_high
749,1190398,0,1.0,23,Newcastle United,6.48142857142857,20/01/2018,0.0,2.0,10,18,17,19.5,114,193,16,1.0,2.0,1.0,4.0,16,0.0,6.0,10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,1190429,3,5.0,26,Liverpool,7.465,17/03/2018,6.0,2.0,14,18,20,58.0,476,581,26,1.0,6.0,2.0,10.0,18,1.0,13.0,5,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
751,1190429,0,0.0,27,Watford,6.15357142857143,17/03/2018,1.0,0.0,8,30,18,42.0,304,420,23,2.0,3.0,1.0,1.0,20,1.0,4.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
752,1190415,3,2.0,29,West Ham,7.39357142857143,10/02/2018,8.0,2.0,21,21,32,36.2,150,246,24,2.0,3.0,2.0,4.0,31,2.0,8.0,11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
753,1190415,0,0.0,27,Watford,6.53642857142857,10/02/2018,7.0,2.0,12,16,31,63.8,323,442,27,3.0,1.0,4.0,4.0,32,0.0,11.0,7,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,1190373,3,3.0,13,Arsenal,7.47142857142857,11/03/2018,4.0,2.0,8,21,17,59.7,417,502,17,4.0,5.0,0.0,7.0,22,0.0,11.0,12,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
755,1190373,0,0.0,27,Watford,6.17071428571429,11/03/2018,9.0,1.0,7,13,22,40.3,245,324,28,5.0,3.0,2.0,4.0,17,2.0,11.0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
756,1190367,3,2.0,32,Manchester United,7.31928571428571,03/02/2018,5.0,3.0,27,15,18,74.3,697,786,23,4.0,4.0,5.0,7.0,14,2.0,16.0,5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
757,1190367,0,0.0,166,Huddersfield,6.40857142857143,03/02/2018,2.0,0.0,4,22,14,25.7,190,265,8,1.0,0.0,3.0,0.0,18,0.0,4.0,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
758,1190401,0,0.0,96,Stoke,6.31076923076923,12/03/2018,3.0,0.0,9,19,16,22.9,165,245,25,1.0,2.0,2.0,0.0,13,0.0,3.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
759,1190401,3,2.0,167,Manchester City,7.23769230769231,12/03/2018,10.0,1.0,10,16,13,77.1,762,847,20,8.0,4.0,3.0,6.0,16,3.0,17.0,8,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
