,match_id,result,goals,team_id,team_name,team_rating,date,att_goal_low_left,won_contest,possession_percentage,total_throws,att_miss_high_left,blocked_scoring_att,total_scoring_att,att_sv_low_left,total_tackle,att_miss_high_right,aerial_won,att_miss_right,att_sv_low_centre,aerial_lost,accurate_pass,total_pass,won_corners,shot_off_target,ontarget_scoring_att,att_miss_left,fk_foul_lost,att_sv_low_right,att_goal_low_centre,total_offside,att_sv_high_left,att_goal_high_left,att_miss_high,att_goal_low_right,att_goal_high_right,att_sv_high_centre,att_post_high,post_scoring_att,att_sv_high_right,penalty_save,att_pen_goal,att_post_right,att_post_left,att_goal_high_centre
285,829655,0,1,26,Liverpool,7.21615384615385,10/01/2015,0,17,52.6,21,1,7,21,1,26,1,2,4,0,5,445,508,6,10,4,2,11,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
286,829656,0,0,14,Leicester,6.50285714285714,13/12/2014,0,12,42.7,37,0,3,7,0,15,0,17,1,1,26,243,358,8,3,1,1,15,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
287,829656,0,1,167,Manchester City,7.11214285714286,13/12/2014,0,10,57.3,22,1,1,9,0,15,0,26,2,1,17,413,515,2,4,4,0,13,2,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0
288,829657,0,0,18,Southampton,6.33785714285714,30/11/2014,0,8,52.1,25,0,4,13,1,15,0,10,1,2,14,389,468,8,5,4,3,10,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0
289,829657,0,3,167,Manchester City,7.41285714285714,30/11/2014,1,10,47.9,18,0,1,15,0,19,1,14,2,2,10,351,441,6,8,6,1,13,0,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0
290,829658,0,1,175,West Bromwich Albion,6.44571428571429,26/12/2014,1,10,47.9,20,0,6,18,1,16,0,13,1,4,7,361,459,10,6,6,4,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
291,829658,0,3,167,Manchester City,7.08214285714286,26/12/2014,2,13,52.1,20,0,2,9,0,21,0,7,0,0,13,413,513,6,2,5,1,9,2,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
292,829659,0,1,259,Swansea,6.83857142857143,10/01/2015,0,11,60.8,19,0,11,19,0,13,2,9,0,1,20,536,628,4,5,3,1,9,2,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0
293,829659,0,1,29,West Ham,6.86153846153846,10/01/2015,0,7,39.2,17,0,1,11,2,18,0,20,2,0,9,300,388,5,5,5,1,7,1,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
294,829660,0,3,32,Manchester United,7.63857142857143,14/12/2014,0,10,54.7,17,0,2,11,0,35,0,6,2,2,8,417,514,2,3,6,1,13,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
295,829660,0,0,26,Liverpool,6.425,14/12/2014,0,17,45.3,25,1,6,19,1,18,0,8,0,5,6,333,416,7,4,9,2,14,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
296,829661,0,0,16,Sunderland,7.05461538461539,29/11/2014,0,15,34.1,23,0,4,12,0,22,2,7,1,2,16,239,308,2,5,3,1,13,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
297,829661,0,0,15,Chelsea,7.02,29/11/2014,0,10,65.9,10,0,10,24,0,25,1,16,2,5,7,549,617,8,8,6,2,10,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0
298,829662,0,0,24,Aston Villa,6.83642857142857,28/12/2014,0,6,48.1,12,2,3,14,0,23,0,8,3,1,8,401,466,4,9,2,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
299,829662,0,0,16,Sunderland,6.75214285714286,28/12/2014,0,7,51.9,26,0,6,14,0,11,0,8,1,3,8,434,510,4,5,3,3,11,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0
300,829663,0,1,175,West Bromwich Albion,6.99230769230769,10/01/2015,1,6,51.5,25,1,1,9,1,16,0,17,2,0,28,382,494,5,5,3,2,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
301,829663,0,0,214,Hull,6.58714285714286,10/01/2015,0,5,48.5,9,4,3,12,1,15,1,28,1,0,17,366,455,2,7,2,0,13,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
302,829664,0,1,16,Sunderland,6.71,13/12/2014,0,6,56.9,17,1,5,13,0,14,1,12,1,1,18,355,444,6,4,4,1,11,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0
303,829664,0,1,29,West Ham,6.95833333333333,13/12/2014,1,12,43.1,14,1,5,20,1,11,0,18,4,2,12,263,334,8,8,7,1,18,1,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0
304,829665,0,1,259,Swansea,6.94153846153846,29/11/2014,1,12,64.3,15,1,3,18,0,16,1,21,5,3,20,464,538,4,11,4,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
305,829665,0,1,162,Crystal Palace,6.66571428571429,29/11/2014,0,10,35.7,24,0,3,11,0,24,0,20,2,2,21,210,302,6,3,5,0,12,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1
306,829666,0,0,214,Hull,6.71785714285714,28/12/2014,0,7,61.9,32,0,7,19,3,23,1,35,2,1,26,449,576,7,7,5,1,12,1,0,2,0,0,1,0,0,0,0,2,0,0,0,2,0,0
307,829666,0,1,14,Leicester,7.15785714285714,28/12/2014,1,5,38.1,24,0,0,4,0,25,1,26,1,0,35,246,367,1,2,2,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,829667,0,0,24,Aston Villa,6.46230769230769,17/01/2015,0,8,48.5,25,1,4,15,1,20,1,22,2,1,16,330,421,9,7,4,1,13,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
309,829667,0,2,26,Liverpool,7.34285714285714,17/01/2015,2,7,51.5,23,0,2,12,0,21,0,16,1,2,22,370,465,5,5,5,1,11,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0
310,829668,0,1,259,Swansea,6.76714285714286,14/12/2014,0,11,53.5,26,0,7,15,2,26,0,17,1,0,21,382,471,7,5,3,3,7,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
311,829668,0,2,30,Tottenham,7.04142857142857,14/12/2014,2,8,46.5,22,0,3,10,0,26,0,21,1,0,17,326,422,9,3,4,2,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
312,829669,0,2,30,Tottenham,6.92,30/11/2014,1,12,38.6,17,0,3,13,1,23,1,13,1,3,10,314,384,3,4,6,0,15,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0
313,829669,0,1,31,Everton,6.64923076923077,30/11/2014,0,16,61.4,20,0,2,10,1,22,0,10,1,2,13,531,603,4,3,5,1,5,1,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0
314,829670,0,4,26,Liverpool,7.30214285714286,29/12/2014,0,11,43.5,23,0,3,21,3,21,2,9,1,1,15,391,473,6,7,11,1,8,2,2,2,0,0,1,1,0,2,0,2,0,0,0,1,1,0
315,829670,0,1,259,Swansea,6.40142857142857,29/12/2014,1,10,56.5,17,0,2,11,1,9,1,15,1,2,9,531,612,3,5,4,1,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
316,829671,0,2,184,Burnley,6.81428571428571,17/01/2015,0,5,50.8,25,0,3,8,1,26,0,29,0,0,34,230,376,5,1,4,0,10,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
317,829671,0,3,162,Crystal Palace,6.96,17/01/2015,1,3,49.2,34,0,2,11,0,9,0,34,3,0,29,240,361,8,5,4,1,20,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
318,829672,0,1,175,West Bromwich Albion,7.1,13/12/2014,1,9,48.6,31,0,2,13,1,19,0,9,0,2,18,338,397,4,6,5,2,17,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
319,829672,0,0,24,Aston Villa,6.53071428571429,13/12/2014,0,5,51.4,25,0,2,7,1,27,0,18,3,1,9,357,439,2,3,2,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,829673,0,0,175,West Bromwich Albion,6.40928571428571,29/11/2014,0,3,48.4,24,1,3,8,1,15,0,23,1,0,26,354,474,4,4,1,1,9,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0
321,829673,0,1,13,Arsenal,7.30923076923077,29/11/2014,0,13,51.6,22,0,6,17,1,10,1,26,2,2,23,416,507,4,6,5,3,10,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
322,829674,0,2,167,Manchester City,6.77642857142857,28/12/2014,0,8,62.3,27,0,6,17,2,21,2,22,1,1,31,463,567,10,5,6,0,18,1,0,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0
323,829674,0,2,184,Burnley,7.27636363636364,28/12/2014,0,10,37.7,19,1,4,12,0,12,0,31,0,0,22,267,348,3,5,3,2,9,0,1,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0
324,829675,0,0,31,Everton,6.84153846153846,19/01/2015,0,13,68.8,21,0,9,17,1,12,0,12,1,1,17,576,643,8,4,4,1,11,0,0,4,1,0,1,0,0,0,0,1,1,0,0,0,1,0
325,829675,0,0,175,West Bromwich Albion,6.86714285714286,19/01/2015,0,7,31.2,10,0,3,5,0,25,0,17,1,0,12,218,301,1,2,0,1,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,829676,0,1,24,Aston Villa,6.78692307692308,20/12/2014,0,6,35.3,15,0,4,10,0,9,0,12,1,1,8,271,329,3,2,4,0,9,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0
327,829676,0,1,32,Manchester United,6.74285714285714,20/12/2014,0,6,64.7,21,0,4,16,0,10,1,8,1,6,12,528,588,9,3,9,0,10,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
328,829677,0,1,29,West Ham,7.07538461538461,29/11/2014,0,1,47.5,29,0,3,12,0,19,1,29,2,0,14,270,367,6,6,3,2,9,1,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0
329,829677,0,0,23,Newcastle United,6.40714285714286,29/11/2014,0,5,52.5,24,2,0,7,1,21,0,14,0,0,29,311,414,2,6,1,4,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,829678,0,3,23,Newcastle United,6.97538461538461,28/12/2014,3,10,53,22,0,3,13,1,20,0,15,2,0,15,372,456,8,4,6,1,13,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0
331,829678,0,2,31,Everton,6.56928571428571,28/12/2014,0,8,47,19,0,1,9,0,13,0,15,1,0,15,349,415,3,6,2,3,8,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1
332,829679,0,0,14,Leicester,6.52785714285714,17/01/2015,0,8,43.2,26,1,1,7,1,27,0,11,1,2,30,250,336,6,3,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,829679,0,1,96,Stoke,7.32461538461538,17/01/2015,0,17,56.8,28,0,4,13,0,17,2,30,2,0,11,375,465,5,6,3,1,6,1,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0
334,829680,0,0,214,Hull,6.61357142857143,20/12/2014,0,7,56.6,32,0,2,11,1,20,2,39,1,1,14,361,484,4,6,3,2,14,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0
335,829680,0,1,259,Swansea,7.06857142857143,20/12/2014,0,7,43.4,26,0,4,13,0,16,1,14,2,1,39,266,369,5,6,3,1,16,0,0,4,0,0,1,1,0,1,0,1,0,0,0,1,0,0
336,829681,0,1,13,Arsenal,7.47153846153846,03/12/2014,1,14,58.6,24,0,4,19,2,24,0,27,4,4,14,445,539,9,7,8,2,7,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
337,829681,0,0,18,Southampton,6.58714285714286,03/12/2014,0,1,41.4,23,1,2,6,0,22,1,14,0,0,27,289,382,4,3,1,0,14,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
338,829682,0,0,171,Queens Park Rangers,6.96846153846154,28/12/2014,0,3,53.9,27,0,6,11,0,29,1,18,1,1,33,233,380,9,2,3,0,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
339,829682,0,0,162,Crystal Palace,7.2775,28/12/2014,0,10,46.1,26,0,1,10,1,19,0,33,1,0,18,218,339,4,6,3,2,17,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1,0
340,829683,0,0,167,Manchester City,6.53285714285714,18/01/2015,0,20,64.7,26,0,5,12,1,28,0,16,2,0,25,535,634,16,3,4,1,12,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
341,829683,0,2,13,Arsenal,7.82714285714286,18/01/2015,1,33,35.3,19,0,2,9,0,22,1,25,1,0,16,275,360,3,4,3,1,5,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
342,829684,0,2,26,Liverpool,7.07923076923077,21/12/2014,1,11,63.5,26,0,4,27,2,32,3,20,1,1,21,512,610,10,13,10,5,6,4,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0
343,829684,0,2,13,Arsenal,6.85071428571429,21/12/2014,1,12,36.5,21,0,1,7,1,25,1,21,0,0,20,249,345,6,3,3,2,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
344,829685,0,1,184,Burnley,6.78538461538462,02/12/2014,0,2,42.2,35,0,3,12,0,18,0,29,2,1,27,209,324,2,7,2,2,12,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0
345,829685,0,1,23,Newcastle United,6.75857142857143,02/12/2014,0,9,57.8,28,0,2,11,0,18,2,27,0,1,29,332,444,5,5,4,2,12,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
346,829686,0,1,18,Southampton,6.68857142857143,28/12/2014,1,6,39.2,13,1,1,9,0,24,1,11,1,0,17,295,378,4,7,1,2,23,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
347,829686,0,1,15,Chelsea,6.74571428571429,28/12/2014,0,21,60.8,19,0,4,7,0,15,0,18,2,0,11,492,570,6,2,1,0,14,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
348,829687,0,1,23,Newcastle United,6.57928571428571,17/01/2015,0,10,58,33,0,4,16,1,24,2,18,3,0,30,452,543,9,9,3,4,9,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
349,829687,0,2,18,Southampton,7.05142857142857,17/01/2015,0,3,42,36,0,1,5,0,37,0,30,0,1,18,309,406,0,1,3,0,8,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
350,829688,0,3,167,Manchester City,7.38214285714286,20/12/2014,1,8,72.5,11,0,4,15,0,18,1,19,2,0,17,658,740,8,8,3,2,17,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0
351,829688,0,0,162,Crystal Palace,6.45142857142857,20/12/2014,0,14,27.5,13,0,1,6,0,21,1,17,1,0,19,179,273,6,4,1,1,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
352,829689,0,1,14,Leicester,6.4375,02/12/2014,0,10,46.6,30,1,6,20,0,17,1,34,0,1,30,261,366,7,10,4,4,11,0,0,0,2,0,3,0,0,1,0,1,0,0,0,1,0,0
353,829689,0,3,26,Liverpool,7.24357142857143,02/12/2014,0,10,53.4,17,0,5,11,0,29,1,30,1,0,34,345,435,4,3,3,0,10,0,1,6,0,0,1,1,0,0,0,0,0,0,0,0,0,1
354,829690,0,2,96,Stoke,7.205,28/12/2014,0,8,50.7,20,0,4,13,0,14,1,15,1,0,15,301,399,5,6,3,4,11,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
355,829690,0,0,175,West Bromwich Albion,6.46642857142857,28/12/2014,0,17,49.3,19,1,4,15,0,14,2,15,0,2,15,296,391,3,7,4,2,14,2,0,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0
356,829691,0,0,171,Queens Park Rangers,6.55857142857143,17/01/2015,0,11,38.3,23,0,4,18,0,20,0,13,2,1,20,236,358,3,10,4,4,12,1,0,1,0,0,4,0,0,1,0,0,1,0,0,0,0,0
357,829691,0,2,32,Manchester United,7.36714285714286,17/01/2015,1,9,61.7,25,0,3,12,0,19,0,20,1,4,13,461,595,3,2,7,0,10,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
358,829692,0,0,23,Newcastle United,6.58214285714286,21/12/2014,0,14,51.8,24,2,1,15,2,15,0,18,2,2,15,309,400,7,7,7,1,15,1,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0
359,829692,0,1,16,Sunderland,7.22142857142857,21/12/2014,0,8,48.2,20,1,2,16,1,29,0,15,1,1,18,278,381,1,11,3,5,15,0,0,4,0,0,3,1,0,0,1,1,0,0,0,0,0,0
360,829693,0,2,32,Manchester United,7.00357142857143,02/12/2014,0,12,64,24,0,2,10,0,18,1,18,2,0,9,562,631,3,5,3,0,8,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
361,829693,0,1,96,Stoke,6.47076923076923,02/12/2014,0,9,36,24,0,0,5,0,25,0,9,0,3,18,278,351,2,1,4,1,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
