,match_id,team_id,team_name,team_rating,goals,W/L/T,date,fk_foul_lost,won_contest,possession_percentage,total_throws,att_miss_high_left,blocked_scoring_att,total_scoring_att,att_sv_low_left,total_tackle,att_miss_high_right,aerial_won,att_miss_right,att_sv_low_centre,att_miss_high,aerial_lost,att_sv_low_right,total_pass,won_corners,shot_off_target,ontarget_scoring_att,att_miss_left,att_goal_low_left,total_offside,att_sv_high_centre,accurate_pass,att_goal_high_left,att_goal_low_centre,att_goal_high_centre,att_post_left,post_scoring_att,att_sv_high_left,att_sv_high_right,att_goal_high_right,att_goal_low_right,att_post_right,att_post_high,att_pen_goal,penalty_save
161,1190255,184,Burnley,7.3525,1,W,1/10/17,7,7,36.8,18,,2,5,,18,,35,1,,,32,,295,3,1,2,,,1,1,179,,1,,,,,,,,,,,
162,1190256,175,West Bromwich Albion,6.520714286,2,L,28/10/2017,10,12,21.7,17,,2,7,1,21,,12,,,1,17,1,254,1,1,4,,1,5,,151,,,1,,,,,,,,,,
163,1190256,167,Manchester City,6.978461538,3,W,28/10/2017,7,15,78.3,15,2,2,15,,16,,17,3,1,3,12,1,929,2,8,5,,2,1,,843,,,,,,,,,1,,,,
164,1190257,166,Huddersfield,6.042142857,,L,30/09/2017,7,5,40.5,31,,3,6,,25,,11,,1,,14,,368,4,2,1,1,,4,,269,,,,,1,,,,,,1,,
165,1190257,30,Tottenham,7.465,4,W,30/09/2017,4,12,59.5,30,,2,14,,16,1,14,1,3,2,11,,558,7,5,7,,,2,,452,1,,,1,1,,,,3,,,,
166,1190258,15,Chelsea,7.074285714,1,W,5/11/17,16,10,54,27,,4,18,,14,1,17,2,4,1,19,2,471,4,6,8,2,,,,370,,,,,,1,,1,,,,,
167,1190258,32,Manchester United,6.434285714,,L,5/11/17,20,4,46,29,,5,10,2,13,,19,,,1,17,,396,7,3,2,2,,,,301,,,,,,,,,,,,,
168,1190259,32,Manchester United,7.565,4,W,30/09/2017,6,12,59.3,21,,5,18,2,17,,17,1,1,3,8,,566,6,6,7,2,,2,,474,,,,,,,,,4,,,,
169,1190259,162,Crystal Palace,6.103571429,,L,30/09/2017,9,10,40.7,17,1,1,6,,20,1,8,,,1,17,,377,5,4,1,1,,1,,295,,,,,,1,,,,,,,
170,1190260,31,Everton,6.911428571,3,W,5/11/17,14,5,37.9,21,1,2,9,,20,,25,,2,,34,,294,2,2,5,1,2,5,,196,,1,,,,,,,,,,1,
