,Unnamed: 0,match_id,result,goals,team_id,team_name,team_rating,date,won_corners,att_sv_low_centre,won_contest,total_tackle,aerial_lost,possession_percentage,accurate_pass,total_pass,att_sv_low_right,total_throws,shot_off_target,total_offside,blocked_scoring_att,ontarget_scoring_att,att_miss_high_right,aerial_won,att_miss_high,att_miss_left,total_scoring_att,fk_foul_lost,att_miss_right,att_goal_low_left,att_sv_low_left,att_goal_low_centre,att_miss_high_left,att_sv_high_centre,att_goal_low_right,att_sv_high_right,att_sv_high_left,att_pen_goal,att_goal_high_right,att_goal_high_left,post_scoring_att,att_post_left,att_post_right,att_post_high,att_goal_high_centre,penalty_save
149,149,959603,0,1,16,Sunderland,6.25571428571429,16/01/2016,3,1,6,19,17,33.4,210,316,0,22,2,3,1,2,1,9,0,1,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,150,959604,0,1,183,Bournemouth,6.446428571428571,12/01/2016,4,0,18,18,21,48.7,311,413,0,31,3,0,4,4,0,10,1,0,11,8,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
151,151,959604,3,3,29,West Ham,7.01357142857143,12/01/2016,7,0,18,21,10,51.3,321,432,1,35,4,4,1,5,1,21,2,0,10,5,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0
152,152,959605,0,1,175,West Bromwich Albion,6.33,19/12/2015,4,0,5,10,11,32.6,183,257,0,25,2,0,3,2,0,13,0,1,7,12,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
153,153,959605,3,2,183,Bournemouth,6.954285714285719,19/12/2015,8,1,14,12,13,67.4,490,552,0,25,5,3,5,6,1,11,0,1,16,9,1,0,3,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0
154,154,959606,0,0,96,Stoke,6.175,06/02/2016,6,1,14,13,17,65.5,527,616,0,25,5,1,4,3,0,8,1,0,12,11,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
155,155,959606,3,3,31,Everton,7.471428571428571,06/02/2016,4,1,11,25,8,34.5,239,326,0,23,3,1,5,6,0,17,0,2,14,8,1,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0
156,156,959607,3,2,14,Leicester,7.298571428571429,02/02/2016,3,2,12,16,35,36.1,207,325,0,23,4,3,3,6,0,26,2,2,13,6,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0
157,157,959607,0,0,26,Liverpool,6.635,02/02/2016,12,0,12,30,26,63.9,438,566,1,31,5,2,8,1,1,35,4,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,158,959608,3,3,13,Arsenal,7.215,05/12/2015,3,1,9,20,16,72.5,618,712,1,12,4,1,5,7,0,15,0,1,16,7,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,159,959608,0,1,16,Sunderland,6.44928571428571,05/12/2015,2,2,5,13,15,27.5,186,257,2,17,6,1,1,4,2,16,2,0,11,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,160,959609,3,2,27,Watford,7.085,31/10/2015,7,2,9,17,24,50.6,303,400,1,22,6,3,9,5,2,12,2,0,20,16,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
161,161,959609,0,0,29,West Ham,6.332857142857139,31/10/2015,2,0,6,15,12,49.4,317,397,1,21,5,3,0,3,1,24,0,2,8,12,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
162,162,959610,0,0,162,Crystal Palace,6.57428571428571,23/11/2015,11,2,10,15,20,66.6,371,452,1,24,8,1,4,7,0,18,1,4,19,18,1,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
163,163,959610,3,1,16,Sunderland,7.2692857142857195,23/11/2015,2,1,12,26,18,33.4,147,244,2,21,6,3,2,4,0,20,2,2,12,11,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,164,959611,3,1,162,Crystal Palace,7.221538461538461,12/12/2015,8,2,14,17,18,43.8,190,296,0,29,3,3,4,5,0,18,2,0,12,11,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
165,165,959611,0,0,18,Southampton,6.53,12/12/2015,5,1,7,14,18,56.2,296,397,0,24,8,0,4,3,2,18,1,2,15,13,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
166,166,959612,3,2,168,Norwich,7.147142857142861,28/12/2015,3,1,9,20,25,48.2,253,361,0,10,4,2,1,4,1,26,0,0,9,10,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
167,167,959612,0,0,24,Aston Villa,6.366428571428571,28/12/2015,8,1,14,20,26,51.8,295,383,0,25,2,0,1,3,0,25,1,1,6,21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
