,Unnamed: 0,match_id,result,goals,team_id,team_name,team_rating,date,won_corners,att_sv_low_centre,won_contest,total_tackle,aerial_lost,possession_percentage,accurate_pass,total_pass,att_sv_low_right,total_throws,shot_off_target,total_offside,blocked_scoring_att,ontarget_scoring_att,att_miss_high_right,aerial_won,att_miss_high,att_miss_left,total_scoring_att,fk_foul_lost,att_miss_right,att_goal_low_left,att_sv_low_left,att_goal_low_centre,att_miss_high_left,att_sv_high_centre,att_goal_low_right,att_sv_high_right,att_sv_high_left,att_pen_goal,att_goal_high_right,att_goal_high_left,post_scoring_att,att_post_left,att_post_right,att_post_high,att_goal_high_centre,penalty_save
227,227,959642,0,0,23,Newcastle United,6.657857142857139,28/12/2015,6,1,5,15,18,48.3,264,334,1,15,3,1,2,2,1,10,0,0,7,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
228,228,959643,3,3,14,Leicester,7.4730769230769205,23/01/2016,8,2,16,19,27,45.2,260,359,0,33,7,1,3,5,1,22,1,3,15,10,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,229,959643,0,0,96,Stoke,6.237142857142861,23/01/2016,4,0,7,20,22,54.8,334,441,0,27,0,0,1,2,0,27,0,0,3,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
230,230,959644,1,0,167,Manchester City,7.10333333333333,13/01/2016,12,3,18,16,6,55.0,487,544,0,17,7,3,10,5,0,9,3,0,22,5,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
231,231,959644,1,0,31,Everton,6.99769230769231,13/01/2016,5,1,16,14,9,45.0,411,468,1,7,3,4,2,2,0,6,1,0,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,232,959645,3,1,26,Liverpool,7.21428571428571,26/12/2015,7,2,9,18,22,64.8,391,517,1,35,12,5,9,5,1,29,4,1,26,11,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
233,233,959645,0,0,14,Leicester,6.68,26/12/2015,6,0,7,21,29,35.2,159,278,1,34,3,1,1,3,0,22,2,1,7,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
234,234,959646,0,0,24,Aston Villa,5.87428571428571,14/02/2016,0,0,10,19,11,39.3,325,410,0,16,4,0,1,1,0,9,0,3,6,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
235,235,959646,3,6,26,Liverpool,7.858571428571429,14/02/2016,6,1,9,24,9,60.7,540,635,0,18,1,1,1,9,0,11,0,1,11,9,0,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
236,236,959647,3,2,29,West Ham,7.317142857142861,02/02/2016,5,0,15,16,16,68.0,578,657,2,17,16,5,3,6,1,15,2,3,25,9,9,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
237,237,959647,0,0,24,Aston Villa,6.40307692307692,02/02/2016,5,2,8,20,15,32.0,210,303,0,15,1,0,2,2,0,16,0,0,5,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
238,238,959648,3,2,23,Newcastle United,7.042142857142861,06/12/2015,2,0,9,26,34,39.8,264,389,0,22,4,1,1,1,0,21,2,1,6,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
239,239,959648,0,0,26,Liverpool,6.432857142857139,06/12/2015,7,0,10,26,21,60.2,447,574,1,33,7,2,2,1,0,34,1,4,10,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
240,240,959649,0,0,183,Bournemouth,6.55428571428571,07/11/2015,16,1,9,22,14,67.3,501,582,0,24,8,4,7,5,0,13,4,1,20,9,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
241,241,959649,3,1,23,Newcastle United,7.0678571428571395,07/11/2015,0,0,6,27,13,32.7,210,300,0,19,1,3,0,1,0,14,1,0,2,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
242,242,959650,0,0,18,Southampton,6.515,21/11/2015,7,0,9,16,20,58.2,403,517,1,26,13,0,1,1,2,19,1,3,15,8,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
243,243,959650,3,1,96,Stoke,7.093571428571429,21/11/2015,3,2,8,13,19,41.8,289,389,0,18,11,2,1,4,0,20,4,1,16,8,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
244,244,959651,1,1,168,Norwich,6.49769230769231,12/12/2015,5,0,0,18,14,41.4,308,402,1,17,5,1,2,2,1,8,3,0,9,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
245,245,959651,1,1,31,Everton,6.7230769230769205,12/12/2015,4,1,9,11,8,58.6,477,572,1,26,10,1,2,3,1,14,2,1,15,6,4,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
246,246,959652,3,2,29,West Ham,6.935714285714281,28/12/2015,4,1,6,23,19,49.1,300,408,0,24,7,1,1,5,2,21,1,3,13,6,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0
247,247,959652,0,1,18,Southampton,6.51357142857143,28/12/2015,7,1,10,21,21,50.9,304,409,0,33,8,2,3,3,1,19,0,4,14,12,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
248,248,959653,0,0,32,Manchester United,6.427142857142861,23/01/2016,4,1,7,9,33,55.4,331,457,0,35,5,2,2,1,0,18,0,2,8,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,249,959653,3,1,18,Southampton,7.192142857142861,23/01/2016,4,0,6,18,18,44.6,237,361,0,29,5,1,0,2,1,33,3,1,7,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
250,250,959654,1,3,23,Newcastle United,6.7,12/01/2016,5,2,7,27,8,54.2,428,514,1,22,4,3,4,6,0,8,0,1,14,10,0,0,0,0,3,0,2,0,0,1,0,1,0,0,0,0,0,0
251,251,959654,1,3,32,Manchester United,6.81769230769231,12/01/2016,3,0,10,22,8,45.8,350,432,1,23,5,1,3,4,1,8,0,1,12,12,3,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
252,252,959655,3,4,167,Manchester City,7.31,26/12/2015,6,0,16,15,15,66.4,542,615,3,22,6,3,4,9,0,12,2,2,19,10,1,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
253,253,959655,0,1,16,Sunderland,6.377142857142861,26/12/2015,1,0,7,20,12,33.6,238,306,1,9,8,1,0,3,0,15,3,3,11,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,254,959656,0,1,183,Bournemouth,6.315,13/02/2016,9,0,7,15,13,65.7,471,550,1,22,4,1,5,2,1,7,0,1,11,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
255,255,959656,3,3,96,Stoke,7.142857142857139,13/02/2016,2,1,8,16,7,34.3,221,290,2,22,4,2,1,6,0,13,0,3,11,18,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
256,256,959657,0,1,162,Crystal Palace,6.647857142857139,02/02/2016,5,1,12,11,11,50.6,289,384,1,32,6,3,5,3,1,21,4,0,14,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
257,257,959657,3,2,183,Bournemouth,6.656428571428571,02/02/2016,3,2,4,16,21,49.4,287,386,0,24,2,0,2,4,0,11,1,1,8,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
258,258,959658,1,1,18,Southampton,6.752142857142861,05/12/2015,10,2,7,25,14,63.1,438,539,1,26,12,3,6,5,1,11,5,6,23,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,259,959658,1,1,24,Aston Villa,6.765,05/12/2015,4,1,6,12,11,36.9,236,332,0,23,4,0,3,2,0,14,2,1,9,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,260,959659,3,2,14,Leicester,6.8921428571428605,07/11/2015,4,2,10,15,13,41.3,264,376,1,15,4,4,2,6,0,11,2,0,12,11,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
261,261,959659,0,1,27,Watford,6.47846153846154,07/11/2015,2,1,6,13,11,58.7,410,556,0,30,4,1,0,4,0,13,0,2,8,10,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0
262,262,959660,1,2,259,Swansea,6.750714285714281,21/11/2015,4,1,5,17,18,42.7,301,401,1,25,2,0,5,4,1,14,0,1,11,8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
263,263,959660,1,2,183,Bournemouth,6.85,21/11/2015,5,1,17,11,14,57.3,438,535,0,27,6,5,6,4,1,18,1,2,16,9,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
264,264,959661,0,0,16,Sunderland,6.497142857142861,12/12/2015,8,1,11,8,26,48.6,303,415,0,21,11,3,1,2,2,12,0,1,14,6,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
265,265,959661,3,1,27,Watford,7.31307692307692,12/12/2015,3,4,11,19,12,51.4,339,464,2,20,2,2,3,8,0,26,1,0,13,9,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
266,266,959662,3,1,13,Arsenal,7.121428571428571,02/01/2016,7,0,13,19,12,51.0,398,468,1,22,10,2,2,3,0,14,4,3,15,10,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
267,267,959662,0,0,23,Newcastle United,6.887692307692309,02/01/2016,4,3,17,20,14,49.0,386,454,0,15,5,0,4,6,1,12,2,1,15,9,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
268,268,959663,0,4,168,Norwich,6.672857142857139,23/01/2016,3,0,13,20,31,47.9,282,401,1,32,0,1,1,5,0,28,0,0,6,10,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
269,269,959663,3,5,26,Liverpool,7.02571428571429,23/01/2016,3,2,10,22,28,52.1,332,445,0,27,2,4,4,7,1,31,0,1,13,14,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
270,270,959664,3,2,18,Southampton,7.332857142857139,13/01/2016,9,2,6,22,15,50.6,351,458,0,16,7,4,1,7,2,20,1,1,15,9,2,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
271,271,959664,0,0,27,Watford,6.3942857142857195,13/01/2016,1,0,6,11,20,49.4,342,465,1,20,0,3,3,1,0,15,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,272,959665,0,0,23,Newcastle United,6.64,26/12/2015,3,0,8,23,17,40.9,287,365,0,15,6,0,3,1,0,12,0,5,10,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
273,273,959665,3,1,31,Everton,7.22,26/12/2015,7,4,22,18,12,59.1,456,517,1,11,5,3,8,7,0,17,1,2,20,12,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
274,274,959666,3,5,15,Chelsea,7.437857142857139,13/02/2016,8,1,8,21,6,54.9,465,555,0,15,4,2,3,7,0,12,0,1,14,11,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
275,275,959666,0,1,23,Newcastle United,5.985,13/02/2016,5,2,7,14,12,45.1,367,452,0,23,2,0,5,3,0,6,0,1,10,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
276,276,959667,3,3,32,Manchester United,7.467142857142861,02/02/2016,2,1,7,21,18,46.9,379,461,0,19,5,3,5,5,1,20,2,1,15,13,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
277,277,959667,0,0,96,Stoke,6.16615384615385,02/02/2016,5,0,7,12,20,53.1,428,519,0,22,7,1,3,0,1,18,2,2,10,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,278,959668,3,2,96,Stoke,7.502857142857139,05/12/2015,1,1,26,17,5,46.5,305,413,1,23,3,3,0,4,0,10,0,0,7,9,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0
279,279,959668,0,0,167,Manchester City,6.38071428571429,05/12/2015,6,1,11,27,10,53.5,334,462,2,41,6,0,1,4,2,5,0,2,11,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
280,280,959669,0,1,26,Liverpool,6.7,08/11/2015,14,1,17,28,10,63.8,408,499,0,27,9,1,9,4,2,18,4,1,22,7,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
281,281,959669,3,2,162,Crystal Palace,6.891428571428571,08/11/2015,6,1,15,25,18,36.2,191,287,0,23,4,2,1,4,0,10,1,2,9,6,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
282,282,959670,3,4,30,Tottenham,7.3192857142857095,22/11/2015,7,7,9,21,10,55.8,392,484,0,25,5,3,5,12,1,12,0,0,22,13,1,2,1,1,1,0,0,0,0,0,0,0,2,0,1,1,1,0
283,283,959670,0,1,29,West Ham,6.57,22/11/2015,6,2,13,28,12,44.2,285,372,0,32,3,3,3,4,1,10,1,0,10,9,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
284,284,959671,0,1,30,Tottenham,6.616923076923079,13/12/2015,6,2,4,18,14,58.3,364,477,1,40,7,2,5,8,0,15,1,1,20,13,5,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
285,285,959671,3,2,23,Newcastle United,6.885714285714291,13/12/2015,2,2,3,25,15,41.7,219,335,0,30,2,4,2,4,0,14,0,1,8,14,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,286,959672,0,0,162,Crystal Palace,6.27071428571429,03/01/2016,5,1,8,17,13,39.8,274,373,0,25,2,0,2,4,1,13,0,1,8,12,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
287,287,959672,3,3,15,Chelsea,7.425384615384611,03/01/2016,7,1,10,23,13,60.2,488,593,0,21,2,0,4,4,0,13,1,1,10,15,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
288,288,959673,3,3,96,Stoke,6.982142857142861,13/01/2016,7,1,8,21,14,64.4,552,621,0,16,7,2,3,4,2,12,1,2,14,5,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
289,289,959673,0,1,168,Norwich,6.297857142857139,13/01/2016,3,0,14,10,12,35.6,270,348,0,25,3,1,0,2,0,14,1,1,5,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
290,290,959674,3,4,18,Southampton,7.46428571428571,26/12/2015,3,0,9,22,18,35.2,231,312,0,21,5,6,4,5,1,7,1,1,14,10,1,2,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
291,291,959674,0,0,13,Arsenal,6.1442857142857195,26/12/2015,4,4,9,11,7,64.8,487,571,0,25,3,1,0,5,0,18,1,2,8,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
292,292,959675,0,1,162,Crystal Palace,6.71230769230769,13/02/2016,8,1,13,18,17,53.9,279,384,1,35,8,6,2,5,2,31,3,0,15,16,2,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
293,293,959675,3,2,27,Watford,7.02923076923077,13/02/2016,3,0,7,30,31,46.1,227,344,1,26,2,0,4,4,1,17,1,0,10,14,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
294,294,959676,1,1,175,West Bromwich Albion,6.91,02/02/2016,7,2,10,14,23,45.3,273,373,0,22,7,2,3,7,0,28,2,2,17,12,2,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0
295,295,959676,1,1,259,Swansea,6.957857142857139,02/02/2016,7,3,5,10,28,54.7,381,481,0,13,8,0,6,4,1,23,2,1,18,13,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
296,296,959677,0,0,259,Swansea,6.582857142857139,05/12/2015,3,1,13,20,9,59.0,447,543,1,23,8,2,0,2,0,19,1,1,10,3,3,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0
297,297,959677,3,3,14,Leicester,7.42923076923077,05/12/2015,8,1,6,19,19,41.0,278,386,0,23,5,2,6,5,0,9,1,0,16,19,2,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
298,298,959678,3,2,32,Manchester United,7.0,07/11/2015,5,0,7,15,22,67.7,540,648,0,25,5,1,5,3,1,21,0,1,13,11,1,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0
299,299,959678,0,0,175,West Bromwich Albion,6.291428571428571,07/11/2015,2,0,10,21,21,32.3,189,304,0,14,3,0,1,0,0,22,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,300,959679,0,1,27,Watford,6.7369230769230795,21/11/2015,4,1,8,28,13,43.6,246,385,1,33,2,1,3,5,1,12,1,0,10,6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
301,301,959679,3,2,32,Manchester United,6.77642857142857,21/11/2015,10,1,4,18,12,56.4,381,499,1,30,5,5,2,6,0,13,2,1,13,12,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
302,302,959680,1,0,29,West Ham,7.16769230769231,12/12/2015,11,4,9,15,22,46.7,247,335,1,24,6,1,8,10,1,23,1,1,24,7,1,0,2,0,1,2,0,1,0,0,0,0,1,0,1,0,0,0
303,303,959680,1,0,96,Stoke,6.998571428571429,12/12/2015,7,3,6,21,23,53.3,296,397,0,22,4,0,5,3,0,22,1,1,12,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,304,959681,1,1,31,Everton,7.05230769230769,03/01/2016,4,0,16,21,7,40.8,310,406,1,16,4,3,5,3,1,14,1,0,12,8,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
305,305,959681,1,1,30,Tottenham,6.7735714285714295,03/01/2016,4,1,6,18,14,59.2,505,599,1,23,4,1,11,4,1,7,0,0,19,11,1,0,0,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0
306,306,959682,0,0,30,Tottenham,6.63857142857143,13/01/2016,16,2,5,14,18,61.7,358,454,2,34,5,2,11,5,1,28,2,0,21,13,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
307,307,959682,3,1,14,Leicester,7.166428571428571,13/01/2016,8,0,5,28,28,38.3,180,293,1,18,3,2,5,2,0,18,1,1,10,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
308,308,959683,3,2,96,Stoke,7.34428571428572,26/12/2015,1,0,12,24,12,41.5,237,334,0,21,8,3,2,3,1,19,3,3,13,13,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
309,309,959683,0,0,32,Manchester United,6.16153846153846,26/12/2015,12,3,7,16,19,58.5,350,453,2,27,3,1,2,6,1,12,0,1,11,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
310,310,959684,0,0,31,Everton,6.73071428571429,13/02/2016,14,3,15,14,24,75.9,557,644,0,23,12,1,15,6,0,14,4,5,33,10,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
311,311,959684,3,1,175,West Bromwich Albion,7.13428571428572,13/02/2016,1,0,6,17,14,24.1,123,215,0,12,3,2,1,1,0,24,0,0,5,12,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
312,312,959685,3,3,31,Everton,7.66333333333333,03/02/2016,3,1,13,30,10,55.8,389,480,1,30,8,0,3,7,3,14,0,2,18,8,3,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0
313,313,959685,0,0,23,Newcastle United,6.1014285714285705,03/02/2016,3,1,11,21,14,44.2,279,372,0,28,2,1,2,3,0,10,0,1,7,15,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
314,314,959686,3,1,168,Norwich,6.833076923076921,07/11/2015,5,0,6,11,14,32.9,277,338,1,13,4,3,0,5,0,11,2,1,9,12,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
315,315,959686,0,0,259,Swansea,6.501428571428571,07/11/2015,2,0,6,12,11,67.1,627,706,0,19,7,2,1,0,1,14,2,2,8,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
316,316,959687,3,2,175,West Bromwich Albion,6.68357142857143,21/11/2015,3,0,5,20,14,27.0,161,247,0,15,2,5,1,1,1,13,0,0,4,14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
317,317,959687,0,1,13,Arsenal,6.633571428571429,21/11/2015,5,0,17,13,13,73.0,590,684,1,12,7,1,1,3,1,14,2,3,11,10,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
318,318,959688,3,2,13,Arsenal,7.0692857142857095,21/12/2015,4,3,12,20,10,37.3,300,386,0,18,3,3,0,5,1,14,1,0,8,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
319,319,959688,0,1,167,Manchester City,6.667142857142861,21/12/2015,8,2,9,19,14,62.7,571,648,1,18,8,1,6,6,0,10,2,5,20,16,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
320,320,959689,1,0,14,Leicester,6.717857142857139,02/01/2016,7,0,9,18,22,53.5,377,479,2,30,12,0,2,2,1,18,2,3,16,9,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
321,321,959689,1,0,183,Bournemouth,7.011538461538461,02/01/2016,1,0,14,24,18,46.5,324,426,0,22,4,2,5,0,1,22,1,1,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
322,322,959690,1,1,24,Aston Villa,6.982307692307691,16/01/2016,3,2,9,18,15,56.5,388,500,1,30,5,1,4,5,0,44,3,1,14,13,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
323,323,959690,1,1,14,Leicester,6.687142857142861,16/01/2016,4,2,6,20,44,43.5,285,398,0,23,5,4,2,5,1,15,1,1,12,15,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
324,324,959691,3,1,259,Swansea,6.91571428571429,26/12/2015,0,1,8,15,11,55.5,403,513,0,19,3,1,2,2,0,7,0,1,7,10,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
325,325,959691,0,0,175,West Bromwich Albion,6.34,26/12/2015,7,0,5,14,7,44.5,282,386,3,36,3,2,3,3,0,11,0,3,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,326,959692,0,1,167,Manchester City,6.74769230769231,14/02/2016,7,0,12,26,11,46.0,370,468,0,30,7,4,8,4,0,18,4,1,19,12,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0
327,327,959692,3,2,30,Tottenham,6.99571428571429,14/02/2016,1,0,14,33,18,54.0,463,564,1,17,2,1,1,3,0,11,1,1,6,17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
328,328,959693,3,2,24,Aston Villa,7.385833333333331,06/02/2016,2,1,7,16,14,48.3,286,386,0,23,5,1,3,2,0,16,2,0,10,10,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
329,329,959693,0,0,168,Norwich,6.337142857142861,06/02/2016,11,2,5,20,16,51.7,296,400,0,35,5,5,3,5,0,14,1,2,13,11,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
330,330,959694,0,2,24,Aston Villa,6.913076923076921,28/11/2015,10,2,16,9,10,65.1,402,494,0,29,4,3,2,6,0,21,0,3,12,6,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
331,331,959694,3,3,27,Watford,6.875,28/11/2015,10,1,5,21,21,34.9,157,263,2,23,2,0,6,6,1,10,0,0,14,13,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
332,332,959695,3,3,15,Chelsea,7.113571428571429,19/12/2015,2,1,16,17,18,67.2,489,577,1,26,6,0,4,7,0,12,2,0,17,12,4,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
333,333,959695,0,1,16,Sunderland,6.5214285714285705,19/12/2015,2,0,11,27,12,32.8,194,280,1,22,6,3,2,3,1,18,1,1,11,12,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
334,334,959696,3,2,32,Manchester United,7.06428571428571,02/01/2016,4,4,15,19,8,54.7,430,515,0,24,5,1,8,6,1,13,0,2,19,14,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
335,335,959696,0,1,259,Swansea,6.600714285714281,02/01/2016,2,2,6,16,13,45.3,336,430,0,20,3,1,2,4,0,8,0,1,9,10,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
336,336,959697,3,3,183,Bournemouth,7.494285714285719,16/01/2016,5,3,13,19,15,45.4,261,353,0,28,6,1,1,8,0,18,2,2,15,8,1,2,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
337,337,959697,0,0,168,Norwich,6.2221428571428605,16/01/2016,3,3,8,21,18,54.6,330,418,0,26,3,4,4,3,1,15,1,0,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,338,959698,3,3,30,Tottenham,7.38857142857143,26/12/2015,9,3,9,18,12,59.8,428,533,1,25,3,3,2,10,0,18,0,2,15,4,1,1,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0
339,339,959698,0,0,168,Norwich,6.326428571428571,26/12/2015,4,1,4,18,18,40.2,266,354,1,36,7,8,1,3,1,12,1,2,11,13,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
340,340,959699,1,2,168,Norwich,6.6864285714285705,13/02/2016,3,1,9,21,24,48.4,242,376,0,20,7,3,3,3,2,21,3,1,13,16,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
341,341,959699,1,2,29,West Ham,6.791428571428571,13/02/2016,3,1,15,14,21,51.6,293,401,1,27,5,8,0,6,2,24,3,0,11,11,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
342,342,959700,0,0,183,Bournemouth,6.4842857142857095,07/02/2016,7,1,11,22,10,50.7,391,485,1,34,7,3,6,4,0,9,2,0,17,6,2,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0
343,343,959700,3,2,13,Arsenal,7.2671428571428605,07/02/2016,3,2,7,19,9,49.3,393,487,0,17,2,6,3,5,0,10,0,1,10,8,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
344,344,959701,1,3,183,Bournemouth,7.04,28/11/2015,10,5,9,22,11,57.3,447,542,0,34,5,2,4,10,0,13,1,2,19,6,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
345,345,959701,1,3,31,Everton,7.042857142857139,28/11/2015,5,1,13,24,13,42.7,309,407,0,16,1,0,4,6,0,11,0,0,11,6,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
346,346,959702,0,2,31,Everton,6.61076923076923,19/12/2015,10,1,20,13,19,67.4,416,538,2,27,5,2,3,5,0,24,4,1,13,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,347,959702,3,3,14,Leicester,7.136428571428571,19/12/2015,2,0,8,30,24,32.6,167,272,2,24,5,2,0,5,0,19,0,2,10,14,3,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
348,348,959703,3,1,168,Norwich,6.967142857142861,02/01/2016,4,0,8,9,23,41.6,246,356,0,21,7,2,2,1,0,25,0,2,10,9,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
