,match_id,team_id,W,L,T,team_name,team_rating,date,won_corners,att_sv_low_centre,won_contest,total_tackle,aerial_lost,possession_percentage,accurate_pass,total_pass,total_throws,shot_off_target,total_offside,blocked_scoring_att,ontarget_scoring_att,aerial_won,att_miss_left,total_scoring_att,fk_foul_lost,att_miss_right,att_goal_low_left,att_goal_low_right,att_sv_low_left,goals,att_pen_goal,att_sv_high_centre,att_goal_low_centre,att_miss_high,att_post_left,post_scoring_att,att_miss_high_right,att_sv_high_right,att_sv_low_right,att_sv_high_left,att_miss_high_left,att_goal_high_right,att_goal_high_left,att_post_right,att_goal_high_centre,penalty_save,att_post_high
146,1190386,184,0,0,0,Burnley,6.502142857142861,20/01/2018,5.0,1.0,9,24,34,48.2,309,423,20,8.0,1.0,3.0,3.0,12,2.0,14.0,7,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
147,1190386,32,0,0,0,Manchester United,7.11928571428571,20/01/2018,4.0,0.0,13,13,12,51.8,363,461,26,4.0,2.0,6.0,2.0,34,0.0,12.0,13,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
148,1190392,166,0,0,0,Huddersfield,6.867857142857139,30/12/2017,5.0,0.0,10,16,24,56.9,284,384,28,2.0,0.0,0.0,1.0,31,0.0,3.0,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,1190392,184,0,0,0,Burnley,6.806153846153849,30/12/2017,4.0,3.0,8,17,31,43.1,179,294,29,5.0,3.0,2.0,4.0,24,2.0,11.0,14,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1190379,15,0,0,0,Chelsea,7.37428571428571,12/02/2018,8.0,4.0,20,21,25,57.0,486,583,12,6.0,1.0,6.0,8.0,16,3.0,20.0,11,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,1190379,175,0,0,0,West Bromwich Albion,6.26,12/02/2018,7.0,0.0,14,12,16,43.0,341,428,12,7.0,3.0,0.0,1.0,25,5.0,8.0,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,1190423,183,0,0,0,Bournemouth,6.671428571428571,24/02/2018,8.0,0.0,9,16,29,63.2,449,551,30,9.0,0.0,4.0,5.0,23,2.0,18.0,12,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
153,1190423,23,0,0,0,Newcastle United,6.833571428571429,24/02/2018,1.0,2.0,7,21,23,36.8,234,338,17,6.0,4.0,5.0,4.0,29,2.0,15.0,10,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,1190345,14,0,0,0,Leicester,6.7221428571428605,03/03/2018,13.0,1.0,9,21,35,55.4,295,438,26,9.0,3.0,10.0,4.0,31,2.0,23.0,11,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
155,1190345,183,0,0,0,Bournemouth,6.76,03/03/2018,1.0,1.0,9,12,31,44.6,244,374,27,4.0,2.0,1.0,3.0,35,1.0,8.0,7,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,1190351,184,0,0,0,Burnley,6.8191666666666695,03/02/2018,3.0,0.0,3,9,13,29.2,178,278,24,4.0,1.0,1.0,3.0,15,1.0,8.0,9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1190351,167,0,0,0,Manchester City,6.8775,03/02/2018,13.0,3.0,7,13,15,70.8,605,695,20,6.0,0.0,7.0,7.0,13,4.0,20.0,6,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
158,1190437,96,0,0,0,Stoke,6.608571428571429,17/03/2018,1.0,2.0,10,19,10,43.5,256,344,8,2.0,0.0,3.0,4.0,21,0.0,9.0,13,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
159,1190437,31,0,0,0,Everton,6.792857142857139,17/03/2018,9.0,4.0,11,19,21,56.5,346,431,20,5.0,4.0,2.0,9.0,10,1.0,16.0,12,2.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,1190347,211,0,0,0,Brighton,6.846428571428571,03/02/2018,4.0,1.0,9,8,28,54.4,338,452,40,11.0,3.0,5.0,5.0,24,2.0,21.0,11,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
161,1190347,29,0,0,0,West Ham,6.58,03/02/2018,1.0,0.0,11,17,24,45.6,283,380,25,2.0,3.0,1.0,1.0,28,0.0,4.0,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
162,1190421,166,0,0,0,Huddersfield,6.34071428571429,17/03/2018,4.0,1.0,10,24,32,54.6,326,470,38,3.0,1.0,1.0,2.0,21,2.0,6.0,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,1190421,162,0,0,0,Crystal Palace,7.52307692307692,17/03/2018,7.0,3.0,15,29,21,45.4,275,393,29,5.0,2.0,7.0,6.0,32,1.0,18.0,12,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
164,1190435,162,0,0,0,Crystal Palace,6.803076923076921,25/02/2018,3.0,2.0,5,28,14,23.8,119,205,30,1.0,0.0,1.0,3.0,24,1.0,5.0,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,1190435,30,0,0,0,Tottenham,6.85230769230769,25/02/2018,13.0,2.0,7,14,24,76.2,566,662,31,6.0,1.0,4.0,4.0,14,3.0,14.0,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
166,1190353,167,0,0,0,Manchester City,6.967142857142861,04/03/2018,5.0,1.0,20,11,8,71.2,902,976,17,5.0,2.0,5.0,3.0,5,0.0,13.0,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
167,1190353,15,0,0,0,Chelsea,6.20928571428571,04/03/2018,2.0,0.0,8,11,5,28.8,303,392,19,3.0,1.0,0.0,0.0,8,2.0,3.0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,1190409,29,0,0,0,West Ham,6.37916666666667,10/03/2018,5.0,1.0,17,14,23,51.7,303,385,25,6.0,1.0,3.0,4.0,21,1.0,13.0,13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,1190409,184,0,0,0,Burnley,7.25153846153846,10/03/2018,1.0,1.0,2,11,21,48.3,287,372,24,2.0,3.0,1.0,4.0,23,1.0,7.0,7,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
170,1190384,15,0,0,0,Chelsea,7.502142857142861,30/12/2017,7.0,4.0,10,9,5,58.5,592,653,18,7.0,3.0,2.0,12.0,13,1.0,21.0,5,1.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
171,1190384,96,0,0,0,Stoke,6.01692307692308,30/12/2017,0.0,0.0,10,27,13,41.5,395,474,11,0.0,2.0,0.0,1.0,5,0.0,1.0,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,1190390,31,0,0,0,Everton,6.668571428571429,20/01/2018,0.0,1.0,8,21,35,56.8,341,474,29,2.0,0.0,3.0,4.0,24,1.0,9.0,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
173,1190390,175,0,0,0,West Bromwich Albion,6.807857142857139,20/01/2018,3.0,0.0,8,15,24,43.2,223,356,31,9.0,0.0,1.0,5.0,35,1.0,15.0,10,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
